<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
05/07/16;000000;95.4000000;95.4000000;94.4600000;95.0200000;1876429
06/07/16;000000;94.5900000;95.6600000;94.3700000;95.5200000;2885471
07/07/16;000000;95.7500000;96.4900000;95.6200000;95.9400000;1991234
08/07/16;000000;96.4700000;96.8900000;96.0600000;96.6800000;2506891
11/07/16;000000;97.3400000;97.4200000;96.9400000;96.9700000;785113
12/07/16;000000;97.1800000;97.7000000;97.1200000;97.4200000;2149210
13/07/16;000000;97.4000000;97.6500000;96.8450000;96.8700000;1700878
14/07/16;000000;97.3900000;98.9800000;97.3400000;98.7800000;3650540
15/07/16;000000;99.0400000;99.3000000;98.5000000;98.7800000;2066946
18/07/16;000000;98.7100000;100.1300000;98.6300000;99.8300000;3014216
19/07/16;000000;99.5600000;100.0000000;99.3500000;99.8900000;1681049
20/07/16;000000;99.9200000;100.4600000;99.7350000;99.9300000;2472476
21/07/16;000000;99.8600000;100.9900000;99.1400000;99.4100000;2381705
22/07/16;000000;99.2400000;99.2500000;98.3200000;98.6500000;2547319
25/07/16;000000;97.9900000;98.2300000;96.9300000;97.3300000;2096052
26/07/16;000000;96.8000000;97.9600000;96.4300000;96.6800000;3223260
27/07/16;000000;104.2600000;104.3500000;102.7500000;102.9900000;6013623
28/07/16;000000;102.8300000;104.4400000;102.8300000;104.3500000;2793856
29/07/16;000000;104.1200000;104.5400000;103.6800000;104.1900000;1820499
01/08/16;000000;104.4400000;106.1500000;104.4300000;106.0600000;2753914
02/08/16;000000;105.6100000;106.0600000;104.0000000;104.4600000;2605157
03/08/16;000000;104.8500000;105.8300000;104.8200000;105.7900000;2627215
04/08/16;000000;105.5500000;105.9950000;105.2900000;105.9000000;1860114
05/08/16;000000;106.2100000;107.6500000;106.1900000;107.4700000;2742315
08/08/16;000000;107.5500000;108.3600000;107.1600000;108.3600000;1784757
09/08/16;000000;108.2300000;108.9300000;108.0100000;108.8200000;2190658
10/08/16;000000;108.7000000;108.8900000;107.7700000;108.0000000;1929106
11/08/16;000000;108.5400000;108.9300000;107.9300000;107.9400000;1770165
12/08/16;000000;107.7900000;108.4350000;107.7800000;108.1600000;1354734
15/08/16;000000;108.1300000;109.5300000;108.1250000;109.5100000;2086664
16/08/16;000000;109.6700000;110.2300000;109.2100000;109.3900000;1831767
17/08/16;000000;109.1200000;109.3700000;108.3400000;109.1900000;2245527
18/08/16;000000;109.2100000;109.5900000;109.0300000;109.0800000;1421106
19/08/16;000000;108.7700000;109.6800000;108.3600000;109.3500000;2217667
23/08/16;000000;108.6300000;109.3200000;108.5700000;108.8200000;1783864
24/08/16;000000;108.5650000;108.7200000;107.6800000;108.0400000;1675745
25/08/16;000000;107.3600000;107.8700000;106.6900000;107.5900000;2024939
26/08/16;000000;107.4300000;107.9200000;106.3200000;106.9400000;2569761
29/08/16;000000;106.6200000;107.4400000;106.3000000;106.8200000;2047108
30/08/16;000000;105.8000000;106.5000000;105.5000000;106.0000000;1802612
31/08/16;000000;105.6500000;106.5600000;105.6500000;106.1400000;1948618
01/09/16;000000;106.1500000;106.7900000;105.6200000;106.7300000;2331510
02/09/16;000000;107.6500000;108.0000000;106.8200000;107.7300000;1936093
06/09/16;000000;107.8300000;108.2950000;107.5100000;107.6900000;1391124
07/09/16;000000;107.8300000;108.7500000;107.0700000;108.3900000;2973582
08/09/16;000000;107.2000000;107.2400000;105.2400000;105.5000000;3823233
09/09/16;000000;104.6400000;105.7200000;103.1400000;103.1700000;3766271
12/09/16;000000;102.6500000;105.7100000;102.5500000;105.4700000;3219877
13/09/16;000000;107.5300000;108.7900000;107.2600000;108.0700000;4267068
14/09/16;000000;108.6900000;113.0300000;108.6300000;111.7900000;8105505
15/09/16;000000;113.8600000;115.7200000;113.5900000;115.5800000;6273663
16/09/16;000000;115.1200000;116.1200000;114.0400000;114.9100000;3930023
19/09/16;000000;115.2600000;116.1700000;113.2500000;113.5400000;3304790
20/09/16;000000;113.0300000;114.1100000;112.5200000;113.5700000;2465603
21/09/16;000000;113.8400000;113.9800000;112.4500000;113.5100000;2644886
22/09/16;000000;114.2600000;114.9400000;114.0100000;114.6200000;2282297
23/09/16;000000;114.4800000;114.7800000;111.5500000;112.7000000;4429192
26/09/16;000000;111.6400000;113.3900000;111.5600000;112.8800000;2003895
27/09/16;000000;112.9700000;113.1700000;112.3400000;113.0900000;1797606
28/09/16;000000;113.6700000;114.6350000;113.4300000;113.9500000;2264474
29/09/16;000000;113.1700000;113.7900000;111.8000000;112.1700000;3194738
30/09/16;000000;112.5400000;113.3600000;111.8100000;113.0100000;2687928
03/10/16;000000;112.7400000;113.0400000;112.2800000;112.5300000;1718769
04/10/16;000000;113.0000000;114.3100000;112.6300000;113.0200000;2405038
05/10/16;000000;113.3900000;113.6400000;112.7000000;113.0400000;1740034
06/10/16;000000;113.6500000;114.3350000;113.1300000;113.9350000;2150826
07/10/16;000000;114.3200000;114.5600000;113.5100000;114.0300000;2016735
10/10/16;000000;115.0800000;116.7500000;114.7200000;116.0500000;2300968
11/10/16;000000;117.6100000;118.6800000;116.2100000;116.3500000;4141194
12/10/16;000000;117.3500000;117.9700000;116.7500000;117.3600000;2511061
13/10/16;000000;116.7800000;117.4300000;115.7300000;117.0000000;2798299
14/10/16;000000;117.8900000;118.1500000;117.1300000;117.6600000;2515460
17/10/16;000000;117.3300000;117.8300000;116.7800000;117.5600000;1553887
18/10/16;000000;118.0000000;118.2100000;117.4500000;117.4500000;1273048
19/10/16;000000;117.2800000;117.7500000;116.9200000;117.1200000;1362707
20/10/16;000000;116.8900000;117.3750000;116.3300000;117.0000000;2073967
